query,room,item_type_same,branded_terms,category hierarchy,product_class,category,sub_category,materials,item_type_unconstrained,query_classification,corrected_query
mystic swivel,kitchen,bar stool,mystic,Furniture / Kitchen & Dining Furniture / Bar Furniture / Bar Stools & Counter Stools / All Bar Stools & Counter Stools,Bar Stools,Furniture , Kitchen & Dining Furniture ,,bar stool,Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs sep Décor & Pillows / Art / All Wall Art sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Wingback Accent Chairs sep Furniture / Office Furniture / Office Chairs sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Outdoor Chaise & Lounge Chairs,mystic swivel
nautical platters,dining room,unknown,unknown,unknown,Serving Dishes & Platters,unknown,unknown,unknown,No Category Fits,"Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Trays & Boards / Serving Trays & Platters / Serving Serving Trays & Platters sep Décor & Pillows / Art / All Wall Art sep Outdoor / Outdoor Cooking & Tableware / Outdoor Serving & Tableware / Coolers, Baskets & Tubs / Picnic Baskets & Backpacks sep Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen and Dining Sets sep Décor & Pillows / Home Accessories / Decorative Trays",nautical platters
navy and peach bedding,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Bed & Bath / Bedding / Sheets & Pillowcases sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows sep Furniture / Bedroom Furniture / Beds & Headboards / Bed Frames / Twin Bed Frames sep Décor & Pillows / Window Treatments / Curtain Hardware & Accessories sep Baby & Kids / Nursery Bedding / Crib Bedding Sets sep Bed Accessories sep Holiday Décor / Holiday Lighting,navy and peach bedding
nectar queen mattress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Bedroom Furniture / Beds & Headboards / Beds / Queen Size Beds sep Bed & Bath / Bedding / All Bedding / Twin Bedding sep Bed & Bath / Bedding Essentials / Mattress Pads & Toppers sep Furniture / Living Room Furniture / Living Room Sets sep Bed & Bath / Mattresses & Foundations / Adjustable Beds,nectar queen mattress
nespresso vertuo next premium by breville with aeroccino,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,"Kitchen & Tabletop / Small Kitchen Appliances / Coffee, Espresso, & Tea / Coffee Makers sep Kitchen & Tabletop / Tableware & Drinkware / Drinkware / Mugs & Teacups sep Appliances / Kitchen Appliances / Large Appliance Parts & Accessories sep Kitchen & Tabletop / Tableware & Drinkware / Drinkware / Mugs & Teacups / Coffee Mugs & Teacups sep Kitchen & Tabletop / Kitchen Utensils & Tools / Kitchen Gadgets / Pasta Makers & Accessories",nespresso vertuo next premium by breville with aeroccino
nesting tray set,unknown,unknown,unknown,unknown,Decorative Trays,unknown,unknown,unknown,No Category Fits,Kitchen & Tabletop / Kitchen Organization / Food Storage & Canisters / Food Storage Containers sep Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts sep Décor & Pillows / Home Accessories / Decorative Trays sep Storage & Organization / Closet Storage & Organization / Closet Accessories sep Storage & Organization / Cleaning & Laundry Organization / Laundry Room Organizers,nesting tray set
nettie 5 pc bar set,unknown,bar stool,unknown,Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets,Patio Dining Sets,Outdoor , Outdoor & Patio Furniture ,recycled plastics sep poly,No Category Fits,Furniture / Kitchen & Dining Furniture / Bar Furniture / Home Bars & Bar Sets sep Kitchen & Tabletop / Kitchen Utensils & Tools / Kitchen Gadgets / Pasta Makers & Accessories sep Furniture / Game Tables & Game Room Furniture / Dartboards & Cabinets sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Décor & Pillows / Art / All Wall Art,nettie 5 pc bar set
non slip shower floor tile,unknown,floor & wall tile,unknown,unknown,Floor & Wall Tile,Home Improvement ," Flooring, Walls & Ceiling ",unknown,No Category Fits,"Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Shower & Bathtub Accessories sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Heads / Dual Shower Heads sep Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles / Porcelain Floor Tiles & Wall Tiles sep Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles",non slip shower floor tile
novara pergola,outdoor,unknown,novara,Outdoor / Outdoor Shades / Pergolas / Metal Pergolas,Pergolas,Outdoor , Outdoor Shades ,metal,metal pergola,Outdoor / Outdoor Shades / Pergolas / Wood Pergolas sep Outdoor / Outdoor Shades / Pergolas / Metal Pergolas sep Outdoor / Outdoor Shades / Pergolas sep Outdoor / Outdoor Fencing & Flooring / Turf,novara pergola
nursery end table,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Table Sets sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Desks sep Décor & Pillows / Wall Décor / Wall Accents sep Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables sep School Furniture and Supplies / School Furniture / School Tables / Folding Tables,nursery end table
odum velvet,living room,unknown,unknown,unknown,unknown,Furniture , Living Room Furniture ,velvet,No Category Fits,Furniture / Living Room Furniture / Sofas sep Décor & Pillows / Window Treatments / Curtains & Drapes sep Furniture / Bedroom Furniture / Beds & Headboards / Bed Frames / Twin Bed Frames sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows sep Décor & Pillows / Wall Décor / Wall Decals sep Furniture / Living Room Furniture / Ottomans & Poufs sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows / Ivory & Cream Throw Pillows,odum velvet
olive green console table,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Console Tables sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Décor & Pillows / Art / All Wall Art / Green Wall Art sep Furniture / Game Tables & Game Room Furniture / Dartboards & Cabinets sep Outdoor / Outdoor & Patio Furniture / Outdoor Tables / All Patio Tables,olive green console table
oliver parsons,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Sectionals sep Furniture / Office Furniture / Desks / Writing Desks sep Décor & Pillows / Art / All Wall Art sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Outdoor Chaise & Lounge Chairs sep Lighting / Light Bulbs & Hardware / Lighting Shades sep Kitchen & Tabletop / Tableware & Drinkware / Serveware / Cake & Tiered Stands sep Storage & Organization / Storage Containers & Drawers / Storage Drawers,oliver parsons
ombre rug,unknown,area rug,unknown,unknown,Area Rugs,Rugs ,unknown,unknown,area rug,Rugs / Area Rugs sep Rugs / Doormats sep Rugs / Kitchen Mats sep Rugs / Area Rugs / 3' x 5' Area Rugs sep Rugs / Area Rugs / 2' x 3' Area Rugs,ombre rug
one alium way,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Kitchen Sinks & Faucet Components / Kitchen Sinks / Farmhouse & Apron Kitchen Sinks sep Décor & Pillows / Art / All Wall Art sep School Furniture and Supplies / Facilities & Maintenance / Commercial Signage sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Toilets & Bidets / Toilet Paper Holders / Wall Mounted Toilet Paper Holders sep Outdoor / Front Door Décor & Curb Appeal / Mailboxes,one allium way
oriental vanity,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Bedroom Furniture / Armoires & Wardrobes sep Furniture / Living Room Furniture / Console Tables sep Décor & Pillows / Home Accessories / Decorative Objects sep Furniture / Bedroom Furniture / Jewelry Armoires,oriental vanity
orren ellis l shape desk,office,desk,unknown,Furniture / Office Furniture / Desks,Desks,Furniture , Office Furniture ,unknown,No Category Fits,Furniture / Office Furniture / Desks sep Furniture / Office Furniture / Desks / Writing Desks sep Furniture / Living Room Furniture / Console Tables sep Furniture / Office Furniture / Chair Mats sep Furniture / Office Furniture / Office Storage Cabinets,orren ellis l shaped desk
orren ellis l shaped desk,office,desk,unknown,Furniture / Office Furniture / Desks,Desks,Furniture , Office Furniture ,unknown,No Category Fits,Furniture / Office Furniture / Desks sep Furniture / Office Furniture / Desks / Writing Desks sep Furniture / Office Furniture / Chair Mats sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Desks sep Furniture / Office Furniture / Office Chairs,orren ellis l shaped desk
osgood mirror,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Mirrors / All Mirrors sep Décor & Pillows / Mirrors / All Mirrors / Leaning & Floor Mirrors sep Décor & Pillows / Mirrors / All Mirrors / Accent Mirrors sep Décor & Pillows / Wall Décor / Wall Accents sep Furniture / Bedroom Furniture / Nightstands sep Lighting / Wall Lights / Bathroom Vanity Lighting,osgood mirror
ottoman bed queen,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Ottomans & Poufs sep Furniture / Bedroom Furniture / Beds & Headboards / Beds / Queen Size Beds sep Furniture / Bedroom Furniture / Daybeds sep Furniture / Living Room Furniture / Bookcases sep Décor & Pillows / Home Accessories / Decorative Objects sep Furniture / Office Furniture / Chair Mats,ottoman bed queen
outdoor clock,unknown,wall clock,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Clocks / Wall Clocks sep Décor & Pillows / Clocks / Mantel & Tabletop Clocks sep Décor & Pillows / Clocks / Wall Clocks / Analog Wall Clocks sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets,outdoor clock
outdoor light fixtures,outdoor,unknown,unknown,unknown,unknown,Lighting , Outdoor Lighting ,unknown,No Category Fits,Lighting / Outdoor Lighting / Outdoor Lanterns & Lamps sep Lighting / Outdoor Lighting / Outdoor Wall Lighting sep Holiday Décor / Holiday Lighting sep Lighting / Outdoor Lighting / Landscape Lighting / All Landscape Lighting / Fence Post Cap Landscape Lighting sep Lighting / Outdoor Lighting / Landscape Lighting / All Landscape Lighting sep Lighting / Wall Lights / Wall Sconces,outdoor light fixtures
outdoor lounge chair,outdoor,unknown,unknown,unknown,unknown,Outdoor , Outdoor & Patio Furniture ,unknown,No Category Fits,Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Outdoor Chaise & Lounge Chairs sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Rocking Chairs & Gliders sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Outdoor Club Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Outdoor Club Chairs / Metal Outdoor Club Chairs,outdoor lounge chair
outdoor lounge cushions,outdoor,furniture cushion,unknown,unknown,Furniture Cushions,,,unknown,No Category Fits,Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Lounge Chair Patio Furniture Cushions sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Outdoor Chaise & Lounge Chairs sep Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Dining Chair Patio Furniture Cushions sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Rocking Chairs & Gliders sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals,outdoor lounge cushions
outdoor movie screen,unknown,unknown,unknown,unknown,Projector Screens,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Inflatable Projection Screens sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Outdoor / Outdoor Recreation / Backyard Play / Kids Cars & Ride-On Toys sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Folding Frame Projection Screens sep Outdoor / Outdoor Recreation / Backyard Play / Climbing Toys & Slides,outdoor movie screen
outdoor privacy wall,outdoor,unknown,unknown,Outdoor / Outdoor Fencing & Flooring / All Fencing,Fencing & Accessories,Outdoor , Outdoor Fencing & Flooring ,unknown,No Category Fits,Outdoor / Outdoor Fencing & Flooring / All Fencing sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets / Two Person Patio Dining Sets sep Outdoor / Outdoor Shades / Pergolas / Wood Pergolas sep Outdoor / Outdoor Fencing & Flooring / Turf sep Lighting / Outdoor Lighting / Landscape Lighting / All Landscape Lighting / Fence Post Cap Landscape Lighting,outdoor privacy wall
outdoor seat/back cushion,outdoor,furniture cushion,unknown,unknown,Furniture Cushions,,,unknown,No Category Fits,Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Dining Chair Patio Furniture Cushions sep Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Lounge Chair Patio Furniture Cushions sep Décor & Pillows / Home Accessories / Decorative Objects sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Rocking Chairs & Gliders,outdoor seat/back cushion
outdoor sectional dining,outdoor,sectional,unknown,unknown,Patio Sofas,Outdoor , Outdoor & Patio Furniture ,unknown,No Category Fits,Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Tables sep Outdoor / Outdoor & Patio Furniture / Outdoor Tables / All Patio Tables sep Lighting / Outdoor Lighting / Outdoor Lanterns & Lamps sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets,outdoor sectional dining
outdoor sectional doning,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Outdoor Club Chairs sep Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Dining Chair Patio Furniture Cushions sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Décor & Pillows / Home Accessories / Decorative Objects,outdoor sectional dining
outdoor storage,outdoor,unknown,unknown,unknown,unknown,Storage & Organization , Garage & Outdoor Storage & Organization ,unknown,No Category Fits,Storage & Organization / Garage & Outdoor Storage & Organization / Deck Boxes & Patio Storage sep Storage & Organization / Garage & Outdoor Storage & Organization / Sheds / Storage Sheds sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Storage & Organization / Garage & Outdoor Storage & Organization / Storage Racks & Shelving Units sep Storage & Organization / Garage & Outdoor Storage & Organization / Garage Storage Cabinets,outdoor storage
